employerName,employerAddressStreet_name,employerAddressCity,employerAddressState,employerAddressZip,einEmployerIdentificationNumber,employeeName,ssnOfEmployee,box1WagesTipsAndOtherCompensations,box2FederalIncomeTaxWithheld,box3SocialSecurityWages,box4SocialSecurityTaxWithheld,box16StateWagesTips,box17StateIncomeTax,taxYear
Robbins-Cortez and Sons,340 Molina Rue Apt. 983,lewmanborough,wy,07511 -6306,40-0499557,Steven Schneider,000-00-0000,130327.06,.3362308,0,0,0,0,2018
"Jacobson, Hart and Terry Inc",683 Geoffrey Island Suite 038,last Jeanneville,GA,82171-2434,38-1014654,John Adkins,000-00-0000,114384.92,0,0,0,82358.54,5959.29,2018
Guerra LLC PLC,680 Tanner Flat,Gainesville,IL,52700-7811,60-0909394,Erin Horton,000-00-0000,156331.43,0,14139243,224,0,0,2018
Hoffman-Gutierrez Lt,38300 Nancy Roads,Jessicaside,WY,69552-5201,58-7007829,Michael Friedman,455-11-6220,158376.77,0,0,.128678,79385.67,0,2018
Hall-Baker and Sons,99172 Martinez Fort Apt. 718,forth Lori,VA,95397-7058,12-0098450,Timothy Bryant,000-00-0000,248557.47,8423,.18133186,0,124362.48,0,2018
Fields-Davis Inc,2772 Richard Crescent,East Katrinaview,MD,42256-1116,55-7913926,Sandra Wright,000-00-0000,.82157320,0,16735654,0,0,824346,2018
"Petty, Jones and Wright Group",065 Hayley Lake,Ramseymouth,MI,53446-2041,33-7544322,DI. Shawn,000-00-0000,158427.99,0,153058.37,0,0,717659,2018
Martin-Lee PLC,2709 Travis Lakes,Whitefort,WI,55196-2712,23-3804616,Connor Medina,122-96-7683,0,0,0,0,0,5077.64,2018
Unknown,2676 William Mountain,Danielsfort,MN,31233-5510,25-0180103,Kimberly Villanueva,000-00-0000,41345.53,10537.,0,0,.4651,.148314,2018
"Smith, Morales and Gates LLC",Harrison Mission 1698,West Dennisview,NY,30232 -7204,75-5356392,Alexis Sexton,564-02-8530,0,935212,0,0,0,0,2018
Romero Itd and Sons,2613 Greene Terrace,New Scottport,MT,19070-7362,39-9236408,Kendra Williams,851-81-1236,.12464965,25300.52,12771589,0,0,625084,2018
DAYOR LLC GROUP,773 Miller Wells Suite 955,Test Jonathanshire,CT,44169-8232,30-5841370,Michael,000-00-0000,235428.19,64208.31,0,14194.83,118605.37,48.5328,2018
"Nichols , Mcneil and Tucker Itd",21549 Stacy Dale Apt. 666,forth Martin,V,00619-4867,75-5648282,Patrick Hoover,000-00-0000,172730.02,31971.4,0,0,0,.434381,2018
Barrera Itd Itd,89406 Perez Terrace Apt. 770,Bryanburgh,FL,11330-0145,92-6254111,Linda Hernandez,000-00-0000,.02176835,55649.45,0,0,0,0,2018
Jackson and Sons Itd,51263 Terri Mission,South Mollyborough,Unknown,35155-9045,04-9363655,Jessica Swanson,000-00-0000,.42105727,0,0,0,0,0,2018
Unknown,$898 Robles Estates,Test Donna,MS,03853-8053,UNKNOWN_EIN,Timothy Green,581-54-3835,0,0,26245,0,115716.2,0,2018
Decker-Smith PLC,784 Price Brook Apt. 000,Marksstad,ME,92936-1367,30-9755097,Mrs. Samantha,000-00-0000,19087958,.5373328,13523,0,8378236,0,2018
"Smith, Rose and French Itd",377 David Shoal,forth Anthonychester,Unknown,96961 - 6876,53-9494262,Justin Gonzalez,000-00-0000,53364.86,.998138,0,0,4.5,.252701,2018
Lee-Wright PLC,80985 Gordon Plain,Scottland,IN,27092-8311,01-0464391,Stanley Robles,335-88-9022,203237.92,.5274348,0,21695,0,0,2018
Ayala-Colon Inc,9381 Santiago Divide,savageberg,VA,96529-0481,56-1920993,Joshua Martin,183-90-9886,0,3332701,0,0,63513.81,0,2018
"Cook , Vance and Jones PLC",071 Rachel Spring,Danielmouth,CT,80303-0125,71-2321301,Michael Schwartz,000-00-0000,105531.53,18781.25,0,0,0,0,2018
"Smith, Winters and Hernandez and Sons",427 Burton Burgs,west Ryanberg,Unknown,Unknown,UNKNOWN_EIN,Unknown,000-00-0000,0,0,22850074,0,97392.27,0,Unknown
Wells Inc Inc,46085 Richard Stream Apt. 837,North Josefurt,IA,19574-8055,48-1656583,Mitchell Gonzales,463-35-7797,64916.31,1550028,0,0,.4443,2440.89,2018
Mendoza-Shaw Inc,528 Marie Light Apt. 186,Lake Stephanie,IN,27601 - 4120,71-7703278,Victor Hayes,005-21-0888,94354.5,23823.9,0,0,49899.52,0,2018
Bennett and Sons Group,57 Andrew Village Suite 004,lebeccachester,WV,55794-7748,72-4516908,Nicholas Vargas,280-10-5382,107263.8,2559537,.13313769,0,5730707,0,2018
Ortiz Inc LLC,441 Shannon Turnpike,Valenciaport,VA,26302-2422,50-4329817,Stephanie Dixon,000-00-0000,204711.04,0,17743574,0,0,8387.54,2018
Unknown,35657 James Courts,West Jasmine,NM,04093-1257,68-7884298,Sara Dean,708-85-6052,62278.33,0,0,0,.9664,283239,2018
Knight Lewis and Sons,245 Shannon Vista,East Austin,UT,72161-6403,54-4891082,. Alexis,000-00-0000,182018.87,0,227148.72,0,93839.57,0,2018
Unknown,26427 Harper River Suite 482,forth Garystad,OH,93378-3048,75-9757299,Colleen Morales,000-00-0000,64561.45,10105.38,0,0,633292.,175558,2018
Livingston Inc PLC,58477 Brown Square Suite 53,Dianetown,NE,52838-2285,64-3586889,John Hernandez,555-40-9458,4628556.,46304,0,0,24787.77,2025.07,2018
Unknown,089 Hunter Ford Suite 170,Townsendtown,NY,29893-4846,84-1097895,Alex Warren,000-00-0000,105770.3,0,0,0,.95,4300.24,2018
Arroyo-Cordova Itd,757 Ortega Plain,Diazfurt,NH,53917-6286,30-5492273,Joseph Hayes,000-00-0000,0,23056.07,0,0,0,0,2018
Diaz and Sons PLC,67058 Glass Cliffs,New Jacquelinechester,OK,56874-5788,54-8166379,Jonathan Jefferson,000-00-0000,56717.73,10196.83,50031.1,3827.38,30531.82,1441.45,Unknown
"Diaz, Howard and Bridges Group",8252 Lambert Court,Port Rebecca,WI,44550-6507,61-9854442,Kenneth Rodriguez,000-00-0000,69124.36,24286.89,57427.67,4393.22,33421.07,2524.2,Unknown
West Ltd Inc,584 Williams Place Apt. 321,South Joseph,KY,72583-7843,48-8496621,Juan Paul,000-00-0000,107443.01,16749.58,123207.9,9425.4,50825.09,4796.83,Unknown
"Boyd, Robinson and Bridges and Sons",14501 Jenkins Brooks Suite 674,East Tiffany,LA,89324-3350,26-1131295,Lisa Scott,000-00-0000,206942.45,31818.62,201165.32,15389.15,111458.45,5424.1,Unknown
"Kelly, Cunningham and Smith Ltd",866 Wilson Fall Suite 425,West Frankland,WI,61690-0393,42-9933985,Paul Jones,000-00-0000,148757.18,50567.23,118352.64,9053.98,71865.87,5614.28,Unknown
Porter Ltd Inc,229 Jeffrey Summit,Coxshire,HI,83322-3824,41-8067463,Mr. Robert,000-00-0000,161590.28,41434.61,150840.93,11539.33,84463.99,6741.02,Unknown
Jackson-Johnson PLC,32483 Curtis Greens,Michaelberg,WY,06943-5520,73-0232661,Vanessa Jackson,000-00-0000,44595.43,10041.55,46101.93,3526.8,23961.38,1308.19,Unknown
"Rivera, Martinez and Hunter and Sons",010 Johnson Alley,Wheelerfort,NM,47003-9227,20-2352784,William Miranda,000-00-0000,176900.59,18844.28,133200.83,10189.86,88723.29,11184.13,Unknown
Parker-Newman and Sons,611 Albert Ville Apt. 251,Kevinburgh,CO,75289-7952,03-9669778,Daniel Johnson,000-00-0000,173750.0,36969.31,184831.19,14139.59,84822.81,2873.54,Unknown
Hernandez LLC and Sons,720 Thomas Track Apt. 253,Johnsonhaven,WY,73034-5606,27-0916551,Richard Smith,000-00-0000,196625.39,35884.32,200379.52,15329.03,99246.64,10098.15,Unknown
Phelps Inc PLC,5464 Gill Row,Rogerfort,NJ,88801-6373,88-5432651,Ashley Patterson,000-00-0000,84816.64,20111.26,68605.05,5248.29,41367.74,1299.86,Unknown
Dixon Group Group,7825 Jeremy Garden Apt. 534,Lake Johnnystad,OR,23936-6471,98-9821712,Michael Hill,000-00-0000,200012.79,23986.4,236745.01,18110.99,105195.87,11105.95,Unknown
"Dunn, Roth and Duran Inc",8262 Raymond Fork,Louisburgh,MS,87537-4097,44-4804680,Thomas Jones,000-00-0000,249432.11,29347.38,255879.4,19574.77,132620.9,6688.0,Unknown
Nguyen-Herman and Sons,86489 Jennifer Mission,Marksfurt,MD,86393-4326,66-0288314,Megan Gonzales,000-00-0000,170054.88,24582.68,150583.84,11519.66,76892.39,6870.53,Unknown
Jones-Mayer and Sons,76782 Melissa Manor Suite 642,Shawstad,WA,94675-4771,66-6917490,Johnathan Fox,000-00-0000,136292.85,14732.21,137852.88,10545.75,64630.83,6110.54,Unknown
"Hubbard, Simpson and Mcbride Group",94832 Spears Extensions,Christopherport,DC,89689-1939,91-8133210,Randy Gutierrez,000-00-0000,41296.39,14829.48,32567.62,2491.42,19867.52,1815.06,Unknown
Mack-Clark LLC,9102 Hill Park Apt. 082,Carlland,AR,22343-9040,27-1943480,Jordan Clark,000-00-0000,234405.35,71288.69,236532.35,18094.72,124391.78,13323.12,Unknown
Warner Ltd Group,175 Frank Skyway,Martintown,WY,81267-3666,59-6062727,Michael Reese,000-00-0000,73278.62,7750.26,93382.49,7143.76,34461.78,3506.87,Unknown
Hale-Jones and Sons,6324 Jose Dam,Johnberg,OR,17736-9083,91-3675989,Edward Williams,000-00-0000,120076.92,24991.41,130311.08,9968.8,56707.75,4928.03,Unknown
"Cardenas, Davis and West LLC",8360 Martha Divide Suite 069,Port Matthewport,MO,43642-4359,73-7897333,Brian Edwards,000-00-0000,162690.95,43415.1,205064.75,15687.45,78060.24,6457.78,Unknown
Howard-Adams Ltd,111 Compton Ports Suite 825,Hernandezchester,FL,71925-1677,47-9705455,Zachary Jones,000-00-0000,210538.33,68443.11,231780.5,17731.21,102658.76,7696.93,Unknown
Scott and Sons and Sons,5508 Alejandro Grove,Griffithshire,NJ,59836-2163,66-1216131,Cynthia Garcia,000-00-0000,247571.07,50219.14,180256.5,13789.62,118916.12,7477.28,Unknown
Edwards Inc PLC,60567 Griffin Forks Suite 450,South Elizabethfurt,CA,67696-6442,33-7314295,Paul Oneal,000-00-0000,100685.61,15340.3,104087.79,7962.72,52757.35,4189.84,Unknown
Bennett and Sons Group,313 Barron Fort,West Anthonyfort,KY,97555-4063,85-1389854,Shawn Mercado,000-00-0000,190584.88,59835.97,159290.95,12185.76,103016.7,5686.23,Unknown
Meyer PLC PLC,019 Sarah Mews,Port Robert,VT,68747-1945,15-9413202,Angela Griffin,000-00-0000,65068.1,22307.33,77518.79,5930.19,34276.63,2427.58,Unknown
Barker Group and Sons,09863 Brandon Isle,South William,MS,94567-4333,58-8124259,Brian Arnold,000-00-0000,66286.46,12096.63,68737.21,5258.4,35135.17,1074.2,Unknown
Hunter-Wilcox and Sons,8659 Brian Coves,Jenningsview,TN,89962-5208,35-8825702,Timothy Figueroa,000-00-0000,132027.39,48546.09,112158.18,8580.1,61263.09,3541.45,Unknown
"Tyler, Nelson and Bender Inc",5654 Parker View,North Sara,AZ,50949-7371,98-3866411,Tiffany Simmons,000-00-0000,110503.15,15540.51,82512.35,6312.19,56172.04,5554.06,Unknown
"Jackson, Black and Coleman Ltd",9754 Ross Route Suite 669,New Vincent,MN,65429-3555,20-4868320,Edward Valdez,000-00-0000,67768.27,22110.14,80965.34,6193.85,33522.47,2453.72,Unknown
"Lewis, Parks and Schneider Group",0181 Philip Brook,Sharonport,TX,85235-8662,59-5500683,Mitchell Williams,000-00-0000,138773.44,17021.97,142455.83,10897.87,65497.75,7560.95,Unknown
Rogers-Anderson Inc,5033 Arthur Causeway,North Jennifer,ME,62396-9663,41-3273885,Sheri Wright,000-00-0000,233548.97,67003.47,292635.29,22386.6,109063.34,9596.89,Unknown
Page-Hunt PLC,8464 Bradford Meadow,Simpsonmouth,CA,65795-4458,38-5155936,Gary Webb,000-00-0000,92813.42,12730.22,119617.25,9150.72,42658.06,3146.84,Unknown
Wright-Mullins LLC,742 Hamilton Divide,Catherinefurt,WA,63584-4218,63-5533013,Tamara Parker,000-00-0000,217121.52,59149.63,272926.45,20878.87,106414.23,8331.14,Unknown
Gross LLC Inc,6942 Nicholson Spur Apt. 213,Davilafort,NY,60049-4999,48-9239329,Nathan Hanson,000-00-0000,145662.36,50063.59,160831.37,12303.6,78932.39,5719.77,Unknown
"Casey, Terry and Bradley Ltd",556 Hoffman Shoal Suite 475,Port Cheryl,AZ,77170-2706,62-2164100,William Byrd,000-00-0000,98893.18,24968.78,111322.05,8516.14,44899.88,5055.19,Unknown
"Schneider, Martin and Jackson LLC",31990 Clark Corner,Lake Jenniferfort,WI,56526-3457,94-3980999,Thomas Moody,000-00-0000,233146.9,73449.38,208770.54,15970.95,106270.46,13531.38,Unknown
"Crawford, Leon and Shaw Group",02488 Joseph Shore,Joshuamouth,IL,05110-3687,52-9690896,Karen Gray,000-00-0000,118170.21,29617.95,130117.54,9953.99,59199.31,5105.16,Unknown
Cabrera Group Ltd,5553 Thomas Passage Apt. 705,West Theodore,CO,56221-5487,50-4141334,Melissa Anderson,000-00-0000,214731.04,47393.74,211281.72,16163.05,105901.45,5436.4,Unknown
Brown-Dunn LLC,28857 Edward Ferry Apt. 226,Lake Cynthia,MI,84969-1857,26-9963170,Jo Kelly,000-00-0000,131815.8,27993.41,131475.37,10057.87,72241.36,6961.16,Unknown
Kirby PLC Ltd,2886 James Glen Suite 809,West Brittneymouth,UT,47391-8866,01-9893232,Timothy White,000-00-0000,83875.53,9550.74,100885.22,7717.72,41861.65,4034.54,Unknown
Henson and Sons LLC,31421 Eric Hollow,Wallacetown,NV,05459-4081,81-4598559,Miranda Harrison,000-00-0000,142081.5,28361.15,105238.52,8050.75,76062.21,4972.97,Unknown
"Palmer, Wiley and Porter Inc",608 Long Shores Suite 772,East Gloriahaven,KS,34780-3473,57-1254541,Amber Wood,000-00-0000,186102.88,56403.34,147389.57,11275.3,93198.69,4521.36,Unknown
Taylor PLC and Sons,804 Stacy Coves,New Lisachester,AR,14521-6355,63-0100580,Ethan West,000-00-0000,231262.65,74105.55,227572.95,17409.33,108268.36,8715.95,Unknown
Mills-Leblanc and Sons,2516 Rodgers Forges Apt. 268,Roseborough,KY,20338-4106,41-6457623,Charles Martin,000-00-0000,100883.71,30749.57,104947.04,8028.45,52972.8,3317.57,Unknown
Miller-Marks Inc,0759 Kelly Camp,West Angela,MO,27722-6633,64-7554162,Christine Moore,000-00-0000,57695.6,7191.74,62590.87,4788.2,27597.95,1212.44,Unknown
Calderon and Sons and Sons,3584 Bennett Rapids,West Johntown,WV,16441-1778,58-6019724,Amber Harmon,000-00-0000,185228.44,35009.12,177043.07,13543.79,92543.3,11060.06,Unknown
Valencia Group Ltd,632 Jensen Roads,Laurachester,VT,54791-2119,74-3529838,Latasha Johnson,000-00-0000,147123.33,52569.93,117853.94,9015.83,73176.09,6525.45,Unknown
Powell and Sons LLC,8761 Sanders Walk,Jamesburgh,ID,94348-1537,14-0201070,Alexander Patterson,000-00-0000,179587.02,64354.8,158200.2,12102.32,90525.11,7589.47,Unknown
Davis LLC LLC,863 Daniel Inlet Apt. 566,Elizabethburgh,VA,37513-2679,33-6539601,Eric Williams,000-00-0000,179553.17,63904.04,150330.34,11500.27,87372.24,3346.5,Unknown
Franco-Nelson LLC,396 Frazier Spur,Julieland,WY,77609-7429,39-3160482,James Bird,000-00-0000,84320.5,20001.02,96762.24,7402.31,46281.64,2803.71,Unknown
Fletcher and Sons and Sons,82752 Frey Rest Apt. 058,North Kristen,NC,56897-2875,42-8411647,Jackie Johnson,194-35-4815,159559.78,16185.79,115468.19,3833.32,87087.16,9432.16,2018
"Warren, Bell and Warren PLC",46217 Franco Mills Apt. 324,South Lisaburgh,VA,73385-7088,23-6711751,Carl Wade,267-12-3513,67699.04,15129.35,60845.61,1654.69,36864.37,1711.81,2018
Lawrence-Brock and Sons,575 Derrick Village,Ericaborough,WY,03848-1352,71-6295447,David Tucker,549-21-1230,80018.32,13737.59,67581.19,5169.96,41985.24,3012.91,2018
"Miller, Zhang and Bauer Ltd",1572 Prince Prairie Apt. 750,South Clarenceton,IL,63868-4378,14-2133094,Jennifer Gay,112-52-5042,71309.25,19949.77,55900.86,276.42,32712.51,2306.17,2018
"Sanders, Kim and Flores LLC",301 Lisa Ridge Apt. 652,Jeffreyview,AL,78371-2913,22-579124!,Veronica Lin,398-20-3623,177481.49,47084.48,189710.11,14512.82,90554.86,7251.82,2018
Khan-Shepherd PLC,01625 Salinas Mission Apt. 844,Angelahaven,NV,57072-1580,34-3711208,Sharon Lee,105-50-1951,74886.59,13931.42,96331.05,7369.33,41182.86,3736.17,2018
Kennedy-Werner PLC,155 Christopher Forest Apt. 222,Thomasfort,LA,72010-7593,01-9257529,Chloe Marshall,836-45-7280,109302.09,21304.32,117462.0,8985.84,50524.18,2360.95,2018
Woods-Collier LLC,290 Joseph Viaduct Apt. 855,Margaretberg,ID,35521-2218,22-1434252,Ricky Davenport,702-68-1004,2379452,58048.12,254926.28,1950186,103975.38,12517.72,2018
Williams-Wall LLC,17911 Kim Hill,West Michael,OK,22998-6398,55-1514528,Christine Cook,617-45-4904,195581.69,23071.,143999.61,11015.97,96052.17,8334.73,2018
Parker-Jackson PLC,968 Nicole Estates Apt. 946,Jenniferbury,MN,04885-1351,68-7282777,Adrienne Reyes,404-78-0491,129060.79,25691.84,155413.52,11889.13,70561.63,5051.69,2018
Brown-Moore and Sons,07869 Walker Overpass Apt. 774,West Tonyastad,MO,73571-7759,51-7915439,Michael Carson,399-91-3759,197662.88,29111.03,199418.35,15255.5,100547.31,8865.9,2018
Thomas-Castillo Ltd,65932 Amanda Loop Apt. 674,Everettton,SC,04773-9319,24-343506,Michael Thompson,591-73-9041,226279.2,23211.41,240373.79,18388.59,104389.11,10280.03,2018
Hill Group and Sons,43893 Rhonda Ranch Apt. 443,North Sarah,NM,99437-2455,76-5514856,Jesus Martinez,198-72-7914,157889.45,46370.6,129457.05,9903.46,73297.83,3784.97,2018
Stone Group LLC,58754 Derrick Circle Apt. 046,Mitchellfurt,PA,50107-5650,52-4199713,Caroline Carrillo,257-02-8934,130335.07,35094.48,15208345,11634.38,68749.7,3617.23,2018
"Wright, Johnson and Smith Group",182 Tommy Grove,West Cindy,TN,87273-7106,99-2878933,Laura Malone,066-30-9199,17967868,44616.57,22256666,17026.35,88389.21,4147.0,2018
"Elliott, West and Gilmore Group",6655 Brewer Inlet Apt. 825,Isabellamouth,AL,25625-0695,56-145355:,Lisa Patterson,301-51-4482,60041.,8052.07,44181.0,3379.85,30117.46,1884.28,2018
Benjamin-Turner PLC,15404 Erik Trail,Markburgh,Co,20499-9287,01-2612249,Shawn Hughes,079-65-9252,106982.53,17590.9,111450.6,3525.97,48665.61,4151.4,2018
Rosales Ltd Inc,3583 Sabrina Views,Ramirezside,NM,30361-7651,94-8902608,Ryan Henson,310-75-6792,106221.36,33630.05,125006.36,9562.99,53300.24,2198.39,2018
"Hill, Vaughan and Garcia PLC",53248 Kenneth Throughway Apt. 401,Paulaview,AL,06694-8536,61-8999124,Linda Henderson,228-35-1007,78359.09,14494.63,67550.59,5167.62,36157.25,2282.74,2018
Gardner-Parsons and Sons,60432 Shannon Groves Apt. 653,Rangelhaven,MS,75965-4907,11-9245123,Catherine Sherman,149-93-4511,144625.19,44303.9,164224.1,12563.14,70787.89,3065.09,2018
"Vega, Gonzalez and Lee and Sons",4666 Sonia Hollow Suite 321,South Marissa,OR,85360-8561,86-323988,Cristian Rodriguez,598-42-0464,157631.78,42990.16,196702.01,15047.7,73408.59,5480.32,2018
King-Lawson and Sons,275 Olivia Rue,Bowenburgh,LA,51741-5190,83-9993923,Suzanne Hopkins,133-91-4942,77057.22,17030.96,60971.4,1664.31,39144.53,2784.2,2018
Brooks-Rose and Sons,154 Turner Point Suite 675,East Cheyennemouth,AR,24743-7257,21-4888866,Joseph Hood,786-90-3921,94274.37,25838.0,108372.7,3290.51,49694.45,3493.54,2018
Costa PLC Inc,891 Mary Knolls,Huntberg,DE,40028-9702,62-894266:,Matthew Dominguez,000-00-0000,211923.18,40735.93,224747.11,17193.15,114982.42,4790.54,2018
Flowers and Sons Ltd,327 Miranda Shoals,Lake Kayla,MD,75749-9541,UNKNOWN_EIN,Mason Edwards,295-28-2777,170481.23,23526.27,137908.53,105500,83795.31,5470.95,2018
Holland-Johnson Group,9997 Anderson Mall,Maxwellton,NJ,14336-3783,95-265906.,Jacqueline Welch,224-11-9026,178168.92,35168.54,197791.51,15131.05,85898.93,7103.69,2018
Terrell-Cunningham Ltd,58512 Howell Summit Apt. 258,Doylehaven,VA,35555-6619,41-5985414,Troy Thomas,112-70-6903,113524.03,26111.63,127778.45,9775.05,53437.84,4313.11,2018
Mitchell-Turner PLC,1571 Flores Shores,Lake Laurenfurt,MI,34616-8419,24-9041945,Travis Preston,518-96-1028,203772.26,62909.72,221226.36,16923.82,92036.38,3492.23,2018
Davis Ltd PLC,89483 Conley Rapids Apt. 695,Duncanport,CO,74108-5632,21-866859,Kristi Jones,580-68-9211,123682.75,18512.46,159830.71,12227.05,65365.51,2474.2,2018
"Rose, Hess and White Inc",713 Scott Hollow Suite 618,East Juan,MO,82063-5620,35-3817190,Kristina Miller,455-64-3675,162299.7,38962.35,194257.86,14860.73,74313.37,6763.27,2018
Farley-Jordan Ltd,165 Howard Parks Apt. 454,Sanchezmouth,NJ,93929-2405,01-7065617,Christopher Bell,290-12-4455,170737.31,22848.34,212882.81,16285.53,78970.21,8019.43,2018
Goodman-Holden Inc,7365 Karen Plain,South Angela,WY,56210-3026,68-2409176,Luis Velasquez,847-97-4679,65582.8,9314.57,79500.41,6081.78,29832.73,1804.48,2018
"Hansen, Sanders and Jimenez LLC",941 Roberts Corner Apt. 634,Lake Joshua,HI,45894-3289,58-5192683,Denise Crawford,206-89-2179,148703.8,22500.0,149269.77,11419.14,7695908,6362.15,2018
Short LLC Inc,31950 Phyllis Coves Suite 043,Williamsview,DE,25375-9087,86-3932650,Jessica Morales,000-00-0000,2121541,44688.45,267860.38,20491.32,121583.04,12418.23,2018
"Hill, Saunders and Sandoval and Sons",263 Jacqueline Village,North Richard,AL,91201-3780,37-8348178,Mr. Eric,747-06-3527,102790.68,18081.71,90562.,96928.06,4724225,594573,2018
Jones-Anderson Group,047 Romero Ridges,Michaelhaven,OH,58223-5666,50-761060:,Jennifer Hopkins,516-78-3994,150440.24,1756296,182704.35,13976.88,73241.11,4168.92,2018
"Patterson, Lopez and Perkins Inc",175 Martin Groves Suite 289,Lake Brandon,OK,75706-2624,74-2147351,Jodi Sutton,595-16-7997,222489.24,22729.48,211306.75,16164.97,11477791,6019.85,2018
Lewis Inc PLC,31402 Palmer Spur Apt. 151,Jeffreyborough,OH,46644-8573,82-0613719,Raymond Oconnor,000-00-0000,70660.94,19100.86,847187,6480.98,37704.72,2922.45,2018
Williams Inc Group,101 Wallace Street Apt. 485,Lake Kathrynhaven,AR,84892-6444,39-4233862,Michael Escobar,751-75-2442,64992.7,12092.55,48584.37,3716.7,32084.,1733.15,2018
Jones PLC LLC,95239 Kirsten Expressway Apt. 663,Hortonstad,OK,99476-2797,44-1608409,Shane Burch,278-69-7877,248046.96,3684457,318641.43,24376.07,126574.85,5953.42,2018
Richard Group Inc,6646 Hayes Glen Apt. 084,Charleston,NH,23011-3440,59-7836148,Daniel Wright,374-47-6692,56944.47,18990.76,61968.25,1740.57,29921.43,1498.48,2018
Atkins Ltd Ltd,71673 Costa Stravenue,East Christophertown,DC,65042-6030,44-2621256,Rickey Mcconnell,312-77-6073,218443.73,31849.24,241430.8,18469.46,108761.83,10092.88,2018
"Kennedy, Thomas and Johnson Ltd",5212 Moore Expressway,East Leah,CT,07962-1357,82-893130,Laura Mccormick,777-19-6923,115223.03,28847.62,106979.33,3183.92,6191118,3448.44,2018
Haynes-Krause and Sons,0319 Moore Harbor Suite 446,West April,WY,63754-3665,41-1303756,Tristan Humphrey,196-69-7194,5425052,84404,68872.82,5268.77,2665081,3036.85,2018
Hernandez PLC LLC,098 Brewer Parkway Suite 520,Smithland,IA,82538-1369,98-5183738,Julie Marquez,133-21-4661,140348.11,17995.3,164953.29,12618.93,69968.03,5277.49,2018
Walker-Howard Inc,5530 Cohen Lodge,Davisview,CA,82937-5566,13-2722851,Jacob Skinner,112-74-4692,48791.84,16579.87,17063.08,3600.33,26168.1,2616.16,2018
Morales-Young Group,063 Jones Dam Suite 031,Coxport,VA,92083-9497,UNKNOWN_EIN,Michael Gonzalez,429-46-5266,193143.8,49242.6,235289.85,17999.67,92498.81,3130.16,2018
"Rodriguez, Mitchell and Rodgers and Son",24284 Zachary Brook Suite 023,Brendaville,OR,12462-8099,02-096016,Briana Montgomery,131-44-3499,102053.8,12066.96,91557.44,7004.14,49100.25,3242.14,2018
Hawkins Inc Ltd,00193 Aimee Garden,Griffinbury,CA,00534-4134,58-3835382,April Brown,335-36-7976,19860738,24593.28,147079.3,1125157,96875.19,4096.83,2018
"Mcgrath, Ray and Flynn and Sons",767 Leonard Ports,North Maryside,ID,24011-4654,06-9041745,Jeffery Vargas,166-17-3465,124006.4,12347.78,120178.51,9193.66,63496.09,5549.62,2018
